"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm I","Wet","No Mow","MCPB",10,25
"Farm I","Wet","No Mow","Nil",55,10
"Farm I","Wet","No Mow","MCPA",1.75,55
"Farm I","Wet","No Mow","MCPA",1.25,35
"Farm I","Wet","No Mow","MCPB",14.5,20
"Farm I","Wet","No Mow","Aminopyralid+triclopyr",0.125,90
"Farm I","Wet","No Mow","Aminopyralid",1.5,40
"Farm I","Wet","No Mow","Flumetsulam",1.5,15
"Farm I","Wet","No Mow","Flumetsulam",0.25,25
"Farm I","Wet","No Mow","MCPB",10.5,15
"Farm I","Wet","No Mow","MCPB+bentazone",3.5,15
"Farm I","Wet","No Mow","Nil",60,8
"Farm I","Wet","No Mow","Nil",52.5,10
"Farm I","Wet","No Mow","MCPB+bentazone",5.5,15
"Farm I","Wet","No Mow","MCPA",52.5,10
"Farm I","Wet","No Mow","Thifensulfuron-methyl",0.005,10
"Farm I","Wet","No Mow","Aminopyralid",2.75,50
"Farm I","Wet","No Mow","Flumetsulam",0,40
"Farm I","Wet","No Mow","Aminopyralid+triclopyr",0.5,70
"Farm I","Wet","No Mow","Thifensulfuron-methyl",0.25,30
"Farm I","Wet","No Mow","MCPB+bentazone",3.25,10
"Farm I","Wet","No Mow","Aminopyralid+triclopyr",0.505,115
"Farm I","Wet","No Mow","Aminopyralid",1.25,125
"Farm I","Wet","No Mow","Thifensulfuron-methyl",1.05,100
"Farm A","Wet","Mow","MCPA",2,45
"Farm A","Wet","Mow","Nil",9,40
"Farm A","Wet","Mow","Flumetsulam",3.75,43
"Farm A","Wet","Mow","MCPB",0.75,115
"Farm A","Wet","Mow","Aminopyralid",0,145
"Farm A","Wet","Mow","MCPA",0.125,85
"Farm A","Wet","Mow","Thifensulfuron-methyl",1,85
"Farm A","Wet","Mow","Aminopyralid",1.25,80
"Farm A","Wet","Mow","Thifensulfuron-methyl",2,50
"Farm A","Wet","Mow","Aminopyralid+triclopyr",0.5,80
"Farm A","Wet","Mow","MCPB",4.5,70
"Farm A","Wet","Mow","Nil",2.75,50
"Farm A","Wet","Mow","MCPB",0.75,65
"Farm A","Wet","Mow","Flumetsulam",0.75,55
"Farm A","Wet","Mow","MCPB+bentazone",1.5,50
"Farm A","Wet","Mow","MCPB+bentazone",2.75,65
"Farm A","Wet","Mow","Nil",6,60
"Farm A","Wet","Mow","Aminopyralid+triclopyr",0,88
"Farm A","Wet","Mow","MCPA",0.75,90
"Farm A","Wet","Mow","Aminopyralid",0,105
"Farm A","Wet","Mow","MCPB+bentazone",3,40
"Farm A","Wet","Mow","Thifensulfuron-methyl",1.75,30
"Farm A","Wet","Mow","Aminopyralid+triclopyr",0,115
"Farm A","Wet","Mow","Flumetsulam",1,100
"Farm A","Wet","No Mow","Flumetsulam",1,35
"Farm A","Wet","No Mow","Aminopyralid+triclopyr",0.1,85
"Farm A","Wet","No Mow","Aminopyralid",0,45
"Farm A","Wet","No Mow","Aminopyralid",2.125,50
"Farm A","Wet","No Mow","Aminopyralid+triclopyr",0.75,48
"Farm A","Wet","No Mow","Flumetsulam",1.375,55
"Farm A","Wet","No Mow","Nil",35,15
"Farm A","Wet","No Mow","MCPB",5.5,40
"Farm A","Wet","No Mow","MCPB+bentazone",5.25,25
"Farm A","Wet","No Mow","MCPA",0.1,35
"Farm A","Wet","No Mow","Aminopyralid+triclopyr",0,48
"Farm A","Wet","No Mow","Thifensulfuron-methyl",0.75,25
"Farm A","Wet","No Mow","Nil",9,35
"Farm A","Wet","No Mow","Nil",10.75,35
"Farm A","Wet","No Mow","MCPA",0.75,25
"Farm A","Wet","No Mow","Flumetsulam",1.75,35
"Farm A","Wet","No Mow","MCPB",2.75,25
"Farm A","Wet","No Mow","Thifensulfuron-methyl",4.5,30
"Farm A","Wet","No Mow","Aminopyralid",1.25,85
"Farm A","Wet","No Mow","MCPB+bentazone",1.75,65
"Farm A","Wet","No Mow","MCPB",4,45
"Farm A","Wet","No Mow","MCPA",0,65
"Farm A","Wet","No Mow","MCPB+bentazone",6.5,30
"Farm A","Wet","No Mow","Thifensulfuron-methyl",0.75,38
"Farm A","Dry","Mow","Nil",4.75,88
"Farm A","Dry","Mow","Flumetsulam",0.375,70
"Farm A","Dry","Mow","Aminopyralid",0.375,125
"Farm A","Dry","Mow","Aminopyralid",0.5,140
"Farm A","Dry","Mow","MCPA",0.375,115
"Farm A","Dry","Mow","Aminopyralid+triclopyr",0.05,135
"Farm A","Dry","Mow","Aminopyralid",0.05,125
"Farm A","Dry","Mow","Aminopyralid+triclopyr",0.75,115
"Farm A","Dry","Mow","MCPA",0.125,110
"Farm A","Dry","Mow","Flumetsulam",0.1,120
"Farm A","Dry","Mow","Aminopyralid+triclopyr",0,120
"Farm A","Dry","Mow","MCPB",1,90
"Farm A","Dry","Mow","Flumetsulam",0.75,60
"Farm A","Dry","Mow","Nil",4.35,90
